Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.056038,-0.0025002,0.093382,0,0,0,9.3479,0.16001,-4.0983E-07,-7.9245E-06,0.061758,2.0875E-05,0.20809,0,0,0,0,0,0,package://r7_2020/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://r7_2020/meshes/base_link.STL,,Runko-1;Voimansiirto2-1/Ajomoottori kokoonpano-1;Voimansiirto1-1/Ajomoottori kokoonpano-1;Moottorien alusta-1;Ase-1;apupyörä uusi-1;Akku-3;Tietokone-1;Kamera-2,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_left_link,-0.048,0.163,0.0925,0,0,0,0.53215,0.001203,8.1593E-18,1.8497E-18,0.002391,3.9816E-18,0.001203,0,0,0,0,0,0,package://r7_2020/meshes/wheel_left_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://r7_2020/meshes/wheel_left_link.STL,,Voimansiirto1-1/Pyörä kokoonpano-1,Coordinate System1,wheel_axis,wheel_left_joint,continuous,0,0,0,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
wheel_right_link,-0.048,-0.163,0.0925,0,0,0,0.53215,0.001203,8.4155E-18,1.4196E-18,0.002391,3.8145E-18,0.001203,0,0,0,0,0,0,package://r7_2020/meshes/wheel_right_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://r7_2020/meshes/wheel_right_link.STL,,Voimansiirto2-1/Pyörä kokoonpano-1,Coordinate System1,wheel_axis,wheel_right_joint,continuous,0,0,0,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
