Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.024437,0.00014855,0.11851,0,0,0,9.9293,0.13788,0.00010399,0.00023717,0.13896,-3.5534E-05,0.22195,0,0,0,0,0,0,package://r2_2020/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://r2_2020/meshes/base_link.STL,,RunkoV2-1;Kamera ja liimattava kiinnike-3;Tietokoneen tilanvaraus-1;Pallosegmentti-1;Kamera ja liimattava kiinnike-2;Kamera ja liimattava kiinnike-1;Akku+kehikko assembly-1;Akku+kehikko assembly-2;Kamera ja liimattava kiinnike-4;Kansi-1;Pallosegmentti-2;Ase moottorilla-1/Kulmavaihteinen moottori kokoonpano-1;Ase moottorilla-1/Lukitus-1;Ase moottorilla-1/Aseen pidikkeet-1;Ase moottorilla-1/Aseen pidikkeet-2;Vetopyörä ajomoottorilla oikea-1/Moottorien pidikkeet-2;Vetopyörä ajomoottorilla oikea-1/Moottorien pidikkeet-1;Vetopyörä ajomoottorilla oikea-1/Ajomoottori kokoonpano-1;Vetopyörä ajomoottorilla vasen-1/Moottorien pidikkeet-3;Vetopyörä ajomoottorilla vasen-1/Moottorien pidikkeet-1;Vetopyörä ajomoottorilla vasen-1/Ajomoottori kokoonpano-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
weapon_link,0.008044,-2.7322E-17,2.7756E-17,0,0,0,1.4464,0.02088,2.4746E-09,6.8547E-10,0.015793,0.0085734,0.0056937,0,0,0,0,0,0,package://r2_2020/meshes/weapon_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://r2_2020/meshes/weapon_link.STL,,Ase moottorilla-1/Pyörivä ase-1,weapon_coord,weapon_axis,weapon_joint,continuous,0.2077,0.00068787,0.179,0,0,0,base_link,1,0,0,,,,,,,,,,,,
left_wheel_link,-1.3878E-17,0.00084422,0,0,0,0,0.25123,0.00026911,3.2973E-20,3.3667E-20,0.00052643,2.8273E-19,0.00026911,0,0,0,0,0,0,package://r2_2020/meshes/left_wheel_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://r2_2020/meshes/left_wheel_link.STL,,Vetopyörä ajomoottorilla vasen-1/wheel12cm-1;Vetopyörä ajomoottorilla vasen-1/Wheel kumi 15cm-1,left_coord,wheel_axis,left_wheel_joint,continuous,-0.11755,0.1805,0.0655,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
right_wheel_link,0,-0.00084422,-6.9389E-18,0,0,0,0.25123,0.00026911,-5.0027E-19,3.863E-20,0.00052643,-9.5453E-19,0.00026911,0,0,0,0,0,0,package://r2_2020/meshes/right_wheel_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://r2_2020/meshes/right_wheel_link.STL,,Vetopyörä ajomoottorilla oikea-1/wheel12cm-1;Vetopyörä ajomoottorilla oikea-1/Wheel kumi 15cm-1,right_coord,wheel_axis,right_wheel_joint,continuous,-0.11755,-0.1805,0.0655,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
