Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.1748,-0.0015373,0.13638,0,0,0,6.5896,0.013808,0.00028037,2.1258E-08,0.016936,-5.3795E-08,0.026797,0,0,0,0,0,0,package://robotti_8/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robotti_8/meshes/base_link.STL,,"Runko-1;Muut valmiskomponentit-1;Aseistus-1/kulmavaihteisen moottorin peti, oikea-1;Aseistus-1/kulmavaihteisen moottorin peti, vasen-1;Aseistus-1/Kulmavaihde-1;Aseistus-1/Lukitus-1;Voimansiirto-1/Ajomoottori kokoonpano-1;Voimansiirto-1/Ajomoottorinkorotuspeti1.0-1;Voimansiirto-1/Ajomoottorinkorotuspeti1.0-2;Voimansiirto-1/Ajomoottorinkorotuspeti1.0-3;Voimansiirto-1/Ajomoottorinkorotuspeti1.0-4;Voimansiirto-1/Ajomoottori kokoonpano-2",World,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_wheel_link,-9.9869E-10,-0.01875,-8.3389E-12,0,0,0,0.39239,0.00044476,-1.5893E-14,1.817E-13,0.00079969,-2.6126E-13,0.00044476,0,0,0,0,0,0,package://robotti_8/meshes/r_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotti_8/meshes/r_wheel_link.STL,,Voimansiirto-1/R8vetavapyora2.0-1,r_wheel,wheel_axis,r_wheel_joint,continuous,-0.35891,-0.17621,0.14358,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
l_wheel_link,-9.3811E-10,0.01875,-2.7156E-11,0,0,0,0.39239,0.00044476,6.7332E-15,1.9888E-13,0.00079969,-1.8841E-13,0.00044476,0,0,0,0,0,0,package://robotti_8/meshes/l_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotti_8/meshes/l_wheel_link.STL,,Voimansiirto-1/R8vetavapyora2.0-2,l_wheel,wheel_axis,l_wheel_joint,continuous,-0.35891,0.16621,0.14358,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
weapon_link,-5.5511E-17,-0.002,-1.9949E-17,0,0,0,1.2336,0.0039975,-1.7007E-20,-5.4842E-20,0.0079916,7.323E-21,0.0039975,0,0,0,0,0,0,package://robotti_8/meshes/weapon_link.STL,0.89804,0.89804,0.89804,1,0,0,0,0,0,0,package://robotti_8/meshes/weapon_link.STL,,Aseistus-1/R8timanttilaikka2.0 (5)-1,weapon_cord,weapon_axis,weapon_joint,continuous,-0.033983,-0.0093,0.13862,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
