Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.035278,-9.6512E-07,0.10376,0,0,0,9.337,0.1153,-4.5578E-07,0.011207,0.053236,-1.3817E-07,0.1317,0,0,0,0,0,0,package://r6_2020/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://r6_2020/meshes/base_link.STL,,"runko (2)-2;Ajomoottori kokoonpano-1;Ajomoottori kokoonpano-3;etuosan tukikuula-1;runkoraakile kp-1;Kulmavaihteinen moottori kokoonpano-5/kulmavaihteisen moottorin peti, oikea-1;Kulmavaihteinen moottori kokoonpano-5/kulmavaihteisen moottorin peti, vasen-1;Kulmavaihteinen moottori kokoonpano-5/Kulmavaihde-1;Kulmavaihteinen moottori kokoonpano-5/Lukitus-1;Kamera-4;Kamerankiinnike-6;Kamera-6;Kamerankiinnike-8;etusuoja ja katto-1;Kamera-7;Kamerankiinnike-9;Akku-7;Akku-8;Akun tuki-17;Akun tuki-22;Kamera-8;Kamerankiinnike-11;Kamera-10;Kamerankiinnike-13",gazebo,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_left_link,0,-0.00080113,0,0,0,0,0.18293,0.00023794,-9.603E-20,7.0834E-21,0.00047128,-3.4036E-20,0.00023794,0,0,0,0,0,0,package://r6_2020/meshes/wheel_left_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://r6_2020/meshes/wheel_left_link.STL,,rengas_taistelurobotti-4,left_coord,wheel_axel,wheel_left_joint,continuous,0.0185,0.19913,0.07006,0,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel_right_link,0,0.00080113,-1.3878E-17,0,0,0,0.18293,0.00023794,-5.2491E-21,-2.4128E-22,0.00047128,-3.4218E-19,0.00023794,0,0,0,0,0,0,package://r6_2020/meshes/wheel_right_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://r6_2020/meshes/wheel_right_link.STL,,rengas_taistelurobotti-2,right_coord,wheel_axel,wheel_right_joint,continuous,0.01846,-0.19913,0.07,0,0,0,base_link,0,1,0,,,,,,,,,,,,
weapon_link,-8.3267E-17,1.1967E-16,-0.0025,0,0,0,1.2786,0.0043475,3.2022E-18,-1.1065E-18,0.0043475,-5.677E-20,0.0086897,0,0,0,0,0,0,package://r6_2020/meshes/weapon_link.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://r6_2020/meshes/weapon_link.STL,,Kulmavaihteinen moottori kokoonpano-5/ase_taistelurobotin-1,weapon_coord,weapon_axel,weapon_joint,continuous,0.15788,0.0001548,0.15076,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
